DATE,DIA US Equity,QQQ US Equity,SPY US Equity
2012-04-11,127.85,66.45,137.0
2012-04-12,129.72,67.205,138.79
2012-04-13,128.4,66.19,137.14
2012-04-14,128.4,66.19,137.14
2012-04-15,128.4,66.19,137.14
2012-04-16,129.07,65.45,137.05
2012-04-17,130.94,66.78,139.082
2012-04-18,130.15,66.61,138.61
2012-04-19,129.54,65.86,137.72
2012-04-20,129.98,65.68,137.95
2012-04-21,129.98,65.68,137.95
2012-04-22,129.98,65.68,137.95
2012-04-23,129.02,65.08,136.79
2012-04-24,129.72,64.73,137.31
2012-04-25,130.64,66.45,139.19
2012-04-26,131.85,66.84,140.16
2012-04-27,132.0,67.24,140.39
2012-04-28,132.0,67.24,140.39
2012-04-29,132.0,67.24,140.39
2012-04-30,131.8,66.76,139.87
2012-05-01,132.53,66.87,140.74
2012-05-02,132.4,67.06,140.325
2012-05-03,131.81,66.35,139.25
2012-05-04,130.09,64.7,137.0
2012-05-05,130.09,64.7,137.0
2012-05-06,130.09,64.7,137.0
2012-05-07,129.84,64.76,137.1
2012-05-08,129.08,64.52,136.55
2012-05-09,128.34,64.321,135.74
2012-05-10,128.44,64.19,136.02
2012-05-11,128.18,64.18,135.61
2012-05-12,128.18,64.18,135.61
2012-05-13,128.18,64.18,135.61
2012-05-14,126.95,63.58,134.11
2012-05-15,126.31,63.37,133.34
2012-05-16,126.18,62.94,132.829
2012-05-17,124.57,61.61,130.86
2012-05-18,123.31,60.81,129.74
2012-05-19,123.31,60.81,129.74
2012-05-20,123.31,60.81,129.74
2012-05-21,124.81,62.51,131.97
2012-05-22,124.83,62.44,132.2
2012-05-23,124.71,62.56,132.27
2012-05-24,125.12,62.15,132.53
2012-05-25,124.26,62.07,132.1
2012-05-26,124.26,62.07,132.1
2012-05-27,124.26,62.07,132.1
2012-05-28,124.26,62.07,132.1
2012-05-29,125.6,62.86,133.7
2012-05-30,123.99,62.33,131.76
2012-05-31,123.7,62.06,131.47
2012-06-01,121.01,60.409,128.16
2012-06-02,121.01,60.409,128.16
2012-06-03,121.01,60.409,128.16
2012-06-04,120.78,60.87,128.1
2012-06-05,121.086,61.12,129.07
2012-06-06,123.93,62.52,131.97
2012-06-07,124.52,62.27,132.05
2012-06-08,125.43,62.87,133.1
2012-06-09,125.43,62.87,133.1
2012-06-10,125.43,62.87,133.1
2012-06-11,123.98,61.805,131.415
2012-06-12,125.59,62.56,132.92
2012-06-13,124.89,62.13,132.07
2012-06-14,126.37,62.36,133.47
2012-06-15,127.34,62.99,134.14
2012-06-16,127.34,62.99,134.14
2012-06-17,127.34,62.99,134.14
2012-06-18,127.13,63.58,134.4
2012-06-19,128.06,64.239,135.7
2012-06-20,127.96,64.29,135.48
2012-06-21,125.44,62.69,132.44
2012-06-22,126.23,63.35,133.46
2012-06-23,126.23,63.35,133.46
2012-06-24,126.23,63.35,133.46
2012-06-25,124.76,62.13,131.32
2012-06-26,125.08,62.52,131.98
2012-06-27,126.01,62.9,133.173
2012-06-28,125.8,62.2,132.79
2012-06-29,128.45,64.16,136.105
2012-06-30,128.45,64.16,136.105
2012-07-01,128.45,64.16,136.105
2012-07-02,128.36,64.35,136.51
2012-07-03,129.15,64.89,137.412
2012-07-04,129.15,64.89,137.412
2012-07-05,128.78,64.93,136.79
2012-07-06,127.57,64.12,135.49
2012-07-07,127.57,64.12,135.49
2012-07-08,127.57,64.12,135.49
2012-07-09,127.24,64.0,135.32
2012-07-10,126.35,63.37,134.14
2012-07-11,125.91,63.02,134.16
2012-07-12,125.57,62.43,133.51
2012-07-13,127.62,63.38,135.75
2012-07-14,127.62,63.38,135.75
2012-07-15,127.62,63.38,135.75
2012-07-16,127.12,63.2,135.43
2012-07-17,127.82,63.53,136.36
2012-07-18,128.96,64.39,137.37
2012-07-19,129.32,65.1,137.73
2012-07-20,128.04,64.235,136.47
2012-07-21,128.04,64.235,136.47
2012-07-22,128.04,64.235,136.47
2012-07-23,126.91,63.46,135.09
2012-07-24,125.86,62.96,133.925
2012-07-25,126.51,62.54,133.96
2012-07-26,128.58,63.37,136.17
2012-07-27,130.54,64.87,138.675
2012-07-28,130.54,64.87,138.675
2012-07-29,130.54,64.87,138.675
2012-07-30,130.4,64.82,138.68
2012-07-31,129.69,64.8,137.71
2012-08-01,129.45,64.61,137.59
2012-08-02,128.54,64.38,136.64
2012-08-03,130.73,65.6,139.349
2012-08-04,130.73,65.6,139.349
2012-08-05,130.73,65.6,139.349
2012-08-06,130.9,66.1,139.62
2012-08-07,131.38,66.65,140.32
2012-08-08,131.55,66.62,140.49
2012-08-09,131.57,66.82,140.61
2012-08-10,131.93,66.86,140.84
2012-08-11,131.93,66.86,140.84
2012-08-12,131.93,66.86,140.84
2012-08-13,131.62,67.02,140.77
2012-08-14,131.66,67.05,140.79
2012-08-15,131.72,67.22,140.95
2012-08-16,132.57,68.02,141.99
2012-08-17,132.42,68.32,142.18
2012-08-18,132.42,68.32,142.18
2012-08-19,132.42,68.32,142.18
2012-08-20,132.38,68.42,142.19
2012-08-21,131.77,68.15,141.76
2012-08-22,131.47,68.43,141.82
2012-08-23,130.38,67.87,140.665
